"Area","Line","Date","TrapName","TrapChecked","Triggered","Set","Species","Sex","Age","Duplicates","PestID","Bait","Latitude","Longitude","TrapType","TimeTaken","Oiled","Toxin","Comments"
"Ark","Dam & Tramline",2024-01-16,"DM5_PBT","Y","N","Y","","","",1,"","Peanut Butter",-36.89988013,174.5366276,"PBT","2 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Dam & Tramline",2024-01-16,"DM6_DOC200","Y","N","Y","","","",1,"","Egg & Egg (Artificial)",-36.89891521,174.5331976,"DOC200","2 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Dam & Tramline",2024-01-16,"Tr1_DOC200","Y","N","Y","","","",1,"","Egg (Artificial) & Meat",-36.89806629,174.5317748,"DOC200","2 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Dam & Tramline",2024-01-16,"DM2_SA","Y","N","Y","","","",1,"","Meat",-36.90018361,174.5412384,"Steve Allan Cat Trap","2 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Dam & Tramline",2024-01-16,"DM7_DOC200","Y","N","Y","","","",1,"","Egg (Artificial) & Meat",-36.89891445,174.5323495,"DOC200","2 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Dam & Tramline",2024-01-16,"DM8_DOC200","Y","N","Y","","","",1,"","Egg (Artificial) & Meat",-36.89956631,174.530157,"DOC200","2 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Dam & Tramline",2024-01-16,"DM5_SA","Y","N","Y","","","",1,"","Meat",-36.8998925,174.5366606,"Steve Allan Cat Trap","2 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Dam & Tramline",2024-01-16,"DM4_DOC200","Y","N","Y","","","",1,"","Egg & Egg (Artificial)",-36.90064908,174.5374682,"DOC200","2 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Dam & Tramline",2024-01-16,"DM5_DOC200","Y","N","Y","","","",1,"","Egg & Egg (Artificial)",-36.89947336,174.5357315,"DOC200","2 Hour(s) and 0 Minute(s)",NA,NA,""""""
"Ark","Dam & Tramline",2024-01-16,"Tr6_DOC200","Y","N","Y","","","",1,"","Egg (Artificial) & Meat",-36.89271589,174.5405967,"DOC200","2 Hour(s) and 0 Minute(s)",NA,NA,""""""
